,stock,gold,exchange,rate
2018-07-23,0.006070635075836606,-0.004367851249817534,0.0014536999216510083,0.0
2018-07-24,0.002896239227705877,0.0032799810243204774,0.0014515897453808435,0.004699999999999999
2018-07-25,0.0008992536638228188,0.0007807822790031338,-0.0031962834127190476,0.0
2018-07-26,0.003423759761309597,-0.00347938968836381,-0.0008734896464543951,0.0001
2018-07-27,0.009478083302708384,-0.0030520951149828335,-0.0008742532977059625,0.0003
2018-07-30,0.004210813872347785,-0.0008864577045368804,0.0,0.0
2018-07-31,0.0029874465934351946,-0.0034249703441240342,-0.0008750182853773936,0.0
2018-08-01,-0.0022617349069271597,-0.0034956981206004656,-0.0024833845207599126,-0.005
2018-08-02,-0.009545536884427719,5.548201560401367e-05,0.003795624994840985,0.0034999999999999996
2018-08-03,0.01046564939805883,0.002354367667948054,-0.0013122404740810723,0.0017000000000000001
2018-08-06,0.0036075392572421094,-0.004592145671249881,0.004076883922872199,0.0017000000000000001
2018-08-07,-0.0006924310191145366,-0.00024322537869814198,-0.0029103629390307972,0.006999999999999999
2018-08-08,0.005870305088464534,-0.0025671395043112,0.00043709478367670584,-0.006999999999999999
2018-08-09,0.0036044439423363883,0.004170375365921686,0.0013101392077068397,-0.0036
2018-08-10,-0.0040883609709663205,0.003031157402640261,0.0020345886977874983,-0.0019
2018-08-13,-0.005941422086515047,0.0024570221787953983,0.016415055407044576,0.009000000000000001
2018-08-14,0.005486331742700301,-0.0023649571444686046,-0.001000214415029177,-0.0036
2018-08-16,-0.0049907698793489885,0.004655926024806689,0.003854119395050759,0.0054
2018-08-20,0.008681272620471248,-0.0018332260466742412,-0.003573218980886139,-0.0019
2018-08-21,0.0001828523668159221,0.005915441407276845,0.00014317417162335033,0.0019
2018-08-23,0.0013314627133933499,0.000401359987668215,0.003430044809262789,0.0055000000000000005
2018-08-24,-0.002218609015480766,0.0021924916779347825,-0.001856480361832169,-0.0055000000000000005
2018-08-27,0.011496774081420469,0.00278353125443509,0.0028546979135262163,0.0037
2018-08-28,0.005220222410590836,0.01205726941799945,-0.0009982175516940472,0.0
2018-08-29,-0.004475683447816792,-0.0006052825375650883,0.006258020707854861,0.0
2018-08-30,-0.0008481776767599314,-0.0028286015535723408,0.002973032557246569,0.0
2018-08-31,-0.001164541439269584,0.006268045946676182,0.0036686932639806713,0.002
2018-09-04,-0.01268587416002731,-0.0020132927741300932,0.008135828296564007,0.009899999999999999
2018-09-05,-0.003665451973962064,0.007694872798953867,0.0023721493018511453,0.016399999999999998
2018-09-06,0.005887682964019092,0.010327104972370549,0.00264458362774711,-0.0101
2018-09-07,0.0038367515336563685,-0.008455485291428033,-0.002226552548016514,-0.0032
2018-09-10,-0.01225641879280559,0.00828203545276196,0.009290783047230633,0.0316
2018-09-11,-0.013514189159169021,-0.0017630932516166098,0.003307154729852435,-0.0154
2018-09-12,0.008114661259275735,-0.0022716596905585362,-0.007456538276664482,0.021099999999999997
2018-09-14,0.009832209071678477,-0.011213919604482925,-0.002084926740377746,-0.014499999999999999
2018-09-17,-0.013349978879253044,0.00820660205301138,0.00886555190314997,-0.005
2018-09-18,-0.00787544246764682,0.0026489236950126838,0.006460947624800539,-0.0029
2018-09-19,-0.004554387555550932,-0.00024324035687151024,-0.00866997793080948,-0.0003
2018-09-21,-0.007561132260013537,-0.014103461202948253,0.0023580009538672897,-0.0044
2018-09-24,-0.014671617776842893,0.010285285731940874,0.006628027578412521,0.0258
2018-09-25,0.00951361039970422,0.00018806592350273377,0.0002752167349147072,-0.0018
2018-09-26,-0.0029999613997517827,-0.007693688958427813,-0.0012390722312209945,-0.015700000000000002
2018-09-27,-0.0059863128023778245,-0.007024828785395343,-0.0005511919665526221,-0.0063
2018-09-28,-0.0026747982317747443,0.00024984605545697036,-0.00013784547544037906,-0.0032
2018-10-01,0.008219606962502013,0.006926964052569318,0.005224815955705786,-0.0036
2018-10-03,-0.015186403867348375,0.0021896607914033694,0.005880358824841281,0.0206
2018-10-04,-0.022672202572692868,0.008030834011240273,0.0038105653076945245,0.0015
2018-10-05,-0.022782116988414813,0.002476571269296457,0.0018998512974635062,-0.032
2018-10-09,-0.00508653731377251,0.0029971623026892047,0.00769805948886404,-0.0089
2018-10-10,0.013363002054635587,2.7902814274227694e-05,-0.0010768610543934187,0.0028000000000000004
2018-10-11,-0.02209855663853233,0.013148120223325677,-0.002832289977511948,-0.0044
2018-10-12,0.021312594779816507,0.005381145061303272,-0.005960461970466291,0.0023
2018-10-15,0.0037793865214101885,0.011040093087400393,0.002171553513507618,0.0004
2018-10-16,0.008493276153243912,-0.0026123652702203515,-0.004075538856817218,-0.0079
2018-10-17,-0.010949172080511715,-0.0009340440375638082,0.0008164376559101072,0.021
2018-10-19,-0.013429497437380533,0.0010159937456784007,-0.0020423453215281384,-0.0235
2018-10-22,-0.005295847980484325,-0.003764332980532359,0.002586267010217469,-0.0045000000000000005
2018-10-23,-0.008447923129814683,0.012347030755822885,-0.00027192386299468296,0.0016
2018-10-24,0.005501685253410216,-0.00909728121072284,-0.004907316282064755,0.0149
2018-10-25,-0.01015512082251746,0.0005787074766434586,0.0004098640674898846,0.0016
2018-10-26,-0.010166646338317875,0.004248528905836935,0.003409016732970116,0.0
2018-10-29,0.021303832796165878,-0.0008748422532054434,-0.0005446623228326786,-0.019
2018-10-30,-0.0051875870564259685,-0.0015772231666186798,0.0027203498821863903,0.0196
2018-10-31,0.016124873365416903,-0.00514383575202082,0.004472461205933698,-0.0141
2018-11-01,-0.00029270834117056665,0.007719616971627374,-0.0067842865369218686,-0.0069
2018-11-02,0.016695369991209574,-0.013489269373827995,-0.013846269604673722,-0.0113
2018-11-05,-0.001736071595226818,0.00868893543979965,0.008796098494593174,0.0255
2018-11-06,0.0011721002622486765,-0.0013486021446471597,-0.0017804565410113327,-0.0248
2018-11-09,0.004750940006433169,-0.018440405709485574,0.0015188128566876458,-0.0015
2018-11-13,0.009477256219897257,-0.006549606277497233,0.001791991657431602,-0.021099999999999997
2018-11-14,-7.113743641973258e-05,-0.003958614824286499,-0.004278524227436797,0.0029
2018-11-15,0.0033677798808913195,0.00263412960426912,-0.004574763645005753,0.010700000000000001
2018-11-16,0.005560715539376204,0.00679057005984518,0.00013893713117152373,-0.0066
2018-11-19,0.00892076394305441,-0.004105506478040866,-0.005293228684284834,-0.0127
2018-11-20,-0.008431560732526933,-0.0004270121985214814,-0.001537494187839883,0.0059
2018-11-26,0.010608174253484037,-0.001897545264158751,0.002262124533146448,0.0029
2018-11-27,0.004488965902682551,-0.0023470689760074492,-0.00014123296400914143,0.003
2018-11-28,0.0057225971832739475,-0.008458133521695999,-0.0024040172788426517,-0.0131
2018-11-29,0.012616015236067923,-0.000803319121374102,-0.011964250391770292,0.0003
